Date,Description,Amount,Account
2024-01-03,WHOLE FOODS MARKET #4721,-112.47,Checking
2024-01-05,STARBUCKS #8803,-6.75,Checking
2024-01-07,SHELL GAS STATION #12,-52.10,Checking
2024-01-09,NETFLIX.COM,-15.99,Checking
2024-01-10,PAYROLL DIRECT DEPOSIT,3500.00,Checking
2024-01-12,AMAZON.COM PURCHASE,-84.99,Checking
2024-01-14,CHIPOTLE MEXICAN GRILL #7,-13.25,Checking
2024-01-16,WALGREENS #2291,-27.80,Checking
2024-01-18,UBER TRIP CHARGE,-23.45,Checking
2024-01-20,SPOTIFY PREMIUM,-9.99,Checking
2024-01-22,CITY ELECTRIC UTILITY,-142.00,Checking
2024-01-24,TARGET STORES #0042,-71.33,Checking
2024-01-26,ZELLE TRANSFER OUT,-150.00,Checking
2024-01-28,DELTA AIRLINES TICKET,-384.00,Checking
2024-01-30,COSTCO WHOLESALE,-238.72,Checking
2024-02-02,WHOLE FOODS MARKET #4721,-98.55,Checking
2024-02-04,DOORDASH ORDER,-31.20,Checking
2024-02-06,SHELL GAS STATION #12,-48.00,Checking
2024-02-07,PAYROLL DIRECT DEPOSIT,3500.00,Checking
2024-02-09,HULU SUBSCRIPTION,-17.99,Checking
2024-02-11,WALGREENS #2291,-14.60,Checking
2024-02-13,LYFT RIDE,-18.75,Checking
2024-02-15,BEST BUY STORE,-129.00,Checking
2024-02-17,COMCAST INTERNET,-79.99,Checking
2024-02-20,AMAZON.COM PURCHASE,-42.50,Checking
